title,price,rating,reviews,availability
Sony PlayStation 4 500GB Console (Renewed),,4.3 out of 5 stars,"3,293 ratings",Not Available
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.5 out of 5 stars,"1,655 ratings",Not Available
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.5 out of 5 stars,609 ratings,Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,186 ratings,Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued] (Renewed),,4.3 out of 5 stars,8 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.3 out of 5 stars,413 ratings,Not Available
"Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",,4.5 out of 5 stars,574 ratings,Not Available
Sony PlayStation 4 Console 1TB - Black (Renewed),,3.8 out of 5 stars,56 ratings,Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle (Renewed) [video game],,4.5 out of 5 stars,29 ratings,Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.5 out of 5 stars,"1,215 ratings",Not Available
"Sony PlayStation 4 Console, Renewed, Black",,4.5 out of 5 stars,264 ratings,Not Available
Sony PlayStation 4 PRO 1TB Gaming Console - Black (Renewed),,4.5 out of 5 stars,274 ratings,Only 1 left in stock - order soon.
PlayStation 4 1TB Console - Call of Duty: Black Ops 3 Limited Edition Bundle [Discontinued] (Renewed),,5.0 out of 5 stars,1 rating,Not Available
Sony PlayStation 4 Pro 1TB Premium Bundle (Renewed),,4.0 out of 5 stars,20 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.3 out of 5 stars,"138,822 ratings",Not Available
"Sony PlayStation 4 Pro 1TB SSD Console - Red Dead Redemption 2 Game Bundle with DualShock-4 Wireless Controller, AMD 8 Cores Processor (Renewed)",,5.0 out of 5 stars,3 ratings,Not Available
